,titles,area,city,company,job_type,career_level,experience_needed,skills_and_tools,urls
64,Junior Data Scientist,Cairo,Egypt,Limitless Labs,Full Time,Experienced,2+ Yrs of Exp,Algorithms | Python | Data Analysis | Statistics | Machine Learning | Database | Oracle,https://wuzzuf.net/jobs/p/i2W03r66L3gu-Junior-Data-Scientist-Limitless-Labs-Cairo-Egypt?o=65&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
65,Business Analyst / Associate Product Manager,Dokki,Giza,Future Group,Full Time | Work From Home,Experienced,2 - 3 Yrs of Exp,Analyst | Business Analysis | Product | Market Research | Project Management | Startup | Computer Science,https://wuzzuf.net/jobs/p/rdKDd4VEov7n-Business-Analyst-Associate-Product-Manager-Future-Group-Giza-Egypt?o=66&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
66,Business Analyst,Nasr City,Cairo,SmartTech Systems,Full Time,Experienced,5+ Yrs of Exp,Information Technology (IT) | Analysis | Business Analysis | Software | Computer Science | Design | Communication | Modeling,https://wuzzuf.net/jobs/p/VtDXEvng8620-Business-Analyst-SmartTech-Systems-Cairo-Egypt?o=67&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
67,Senior Business Analyst,Heliopolis,Cairo,United Media Services,Full Time,Experienced,2 - 5 Yrs of Exp,Business Analysis | English | Quality Assurance | System Analysis | Analysis,https://wuzzuf.net/jobs/p/SIhAbtcw5c77-Senior-Business-Analyst-United-Media-Services-Cairo-Egypt?o=68&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
68,Feasibility Studies Specialist,Giza,Giza,FinBi Finance & Banking Consultants International,Full Time,Experienced,5 - 10 Yrs of Exp,Finance | Financial Analysis | Microsoft Excel | Accounting | Economics | Analysis | Feasibility | Feasibility Study,https://wuzzuf.net/jobs/p/wPVXzVFs3FVf-Feasibility-Studies-Specialist-FinBi-Finance-Banking-Consultants-International-Giza-Egypt?o=69&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
69,Claims and Data Specialist,Sheraton,Cairo,Wisely Insure,Full Time,Entry Level,0 - 1 Yrs of Exp,Data Entry | Analysis | Administration | Claims | Business Administration | Data Analysis | Microsoft Office | Data,https://wuzzuf.net/jobs/p/xSUehV75OHHb-Claims-and-Data-Specialist-Wisely-Insure-Cairo-Egypt?o=70&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
70,Senior System Analyst,Mohandessin,Giza,ARCOM,Full Time,Experienced,5+ Yrs of Exp,Information Technology (IT) | IT | QA | System Analysis | Testing | Computer Science,https://wuzzuf.net/jobs/p/MwlH2elXsv6P-Senior-System-Analyst-ARCOM-Giza-Egypt?o=71&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
71,CRM Analyst (HubSpot User),Maadi,Cairo,almentor,Full Time,Experienced,2 - 4 Yrs of Exp,Analysis | CRM | HubSpot | English | Information Technology (IT) | Computer Science | Business Analysis | Software | Education,https://wuzzuf.net/jobs/p/Z7FOHyE7yY9f-CRM-Analyst-HubSpot-User-almentor-Cairo-Egypt?o=72&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
72,Senior Sales Performance Analyst,6th of October,Giza,Sary,Full Time,Experienced,4 - 7 Yrs of Exp,Sales Analysis | Analysis | Research | English | Sales | Training | Product knowledge | Business Development,https://wuzzuf.net/jobs/p/kgbpFv5QvriC-Senior-Sales-Performance-Analyst-Sary-Giza-Egypt?o=73&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
73,FP&A and Pricing Senior Analyst,Giza,Egypt,Fawry Banking & Payment Technology Services,Full Time,Experienced,2 - 5 Yrs of Exp,Finance | Financial Analysis | Accounting | Pricing | Financial Accounting,https://wuzzuf.net/jobs/p/AMZR85LWqloo-FPA-and-Pricing-Senior-Analyst-Fawry-Banking-Payment-Technology-Services-Giza-Egypt?o=74&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
74,Reporting Analyst,Maadi,Cairo,Sykes Enterprises,Full Time,Entry Level,0 - 2 Yrs of Exp,BI | Analysis | Power BI | SQL | Reporting | Wfm | English,https://wuzzuf.net/jobs/p/7WarqU8m2MTP-Reporting-Analyst-Sykes-Enterprises-Cairo-Egypt?o=75&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
75,Business Analyst & Proposal Writer,Maadi,Cairo,RAQAMYAT,Full Time,Experienced,5+ Yrs of Exp,Analytical Skills | Business Analysis | Business Writing | Software | Ecommerce | Business Development,https://wuzzuf.net/jobs/p/ttCYeVWk93Uu-Business-Analyst-Proposal-Writer-RAQAMYAT-Cairo-Egypt?o=76&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
76,Field Force Analyst,Sheraton,Cairo,Macro Group,Full Time,Experienced,3 - 5 Yrs of Exp,Analysis | CRM,https://wuzzuf.net/jobs/p/yYEPePTO3BuH-Field-Force-Analyst-Macro-Group-Cairo-Egypt?o=77&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
77,Power BI Developer,Maadi,Cairo,Sceel.io,Full Time,Experienced,3 - 5 Yrs of Exp,Azure | BI | Big Data | Development | DAX | SQL | Power BI,https://wuzzuf.net/jobs/p/zX5A2XN9zSRQ-Power-BI-Developer-Sceel-io-Cairo-Egypt?o=78&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
78,Financial Planning & Analysis Section Head,Gharbia,Egypt,Confidential,Full Time,Senior Management,10 - 12 Yrs of Exp,Accounting | Financial Planning | Analysis | Data Analysis | Financial Analysis | Oracle | Planning | Reporting,https://wuzzuf.net/jobs/p/stf16Wkt7u0O-Financial-Planning-Analysis-Section-Head-Gharbia-Egypt?o=79&l=sp&t=sj&a=Data-Analyst|search-v3|navbg
